fico_range_low,annual_inc,dti,loan_amnt,revol_bal,loan_status
705,48000.0,32.63,9000,5396,1
690,198000.0,18.72,21000,46287,0
715,40000.0,33.89,6000,10937,1
710,65000.0,19.76,10000,3045,1
665,25000.0,13.44,8000,3187,1
700,125000.0,1.92,6000,8675,1
670,97000.0,20.0,24000,3864,1
735,47500.0,13.67,9600,11474,1
660,110000.0,23.37,3000,8655,1
755,75000.0,39.22,2200,34725,1
705,100000.0,14.0,12000,10051,1
690,47500.0,9.19,8400,11878,1
715,265000.0,6.03,7000,7412,1
680,250000.0,16.31,35000,54758,1
740,64500.0,20.82,15400,445,1
695,61402.0,5.41,12000,4675,1
675,110000.0,21.91,12000,23226,1
660,66400.0,9.81,14000,15181,1
660,26000.0,15.14,12950,7127,0
665,93500.0,10.93,10950,4017,1
755,195000.0,9.83,10000,12633,1
720,46000.0,34.05,8000,13963,1
720,53000.0,18.07,20000,16806,1
680,90000.0,28.48,4050,6580,1
680,67000.0,27.57,9000,2854,1
675,125000.0,12.05,20000,30894,1
715,80000.0,12.66,24000,4296,0
720,60000.0,23.42,20000,5261,0
725,54000.0,17.0,10000,6899,1
685,97000.0,21.14,35000,39344,0
670,36000.0,27.07,14350,11915,0
675,94500.0,10.39,10000,2841,1
725,98000.0,6.63,30000,19789,1
660,55000.0,8.86,6000,6081,1
665,55000.0,19.42,18525,14731,0
720,31200.0,14.85,10000,13807,1
690,40000.0,19.29,9700,6189,1
685,70000.0,18.5,24000,22839,0
680,43000.0,15.24,5000,21261,1
665,51000.0,17.78,11000,11495,1
660,105000.0,24.25,11000,8683,1
660,90000.0,10.96,15000,8989,1
675,125000.0,11.92,12000,12023,1
665,59000.0,13.89,12000,4022,1
735,150000.0,25.88,18825,38037,1
675,30000.0,18.08,8600,4277,1
670,60000.0,15.04,23000,31592,1
665,70000.0,22.84,25000,21006,0
685,89000.0,22.06,28000,23408,0
765,41000.0,5.11,13000,7252,1
705,156242.0,5.88,24500,17551,1
680,60000.0,11.34,12000,10508,1
715,20000.0,11.16,3600,3457,1
705,39000.0,27.35,5500,20740,1
715,60067.0,18.26,20000,11336,1
785,160000.0,8.16,16000,17594,1
720,95000.0,19.94,28000,60487,1
705,100000.0,6.41,25000,32664,1
670,165000.0,6.89,11700,13755,1
715,88000.0,17.58,20000,7804,0
670,72000.0,13.23,7000,1574,1
695,60292.0,16.2,12575,13478,1
705,85000.0,33.21,14400,25893,0
715,150000.0,10.87,15000,13601,1
685,50000.0,29.67,20000,8332,0
695,117126.0,4.46,35000,15286,1
715,92000.0,18.67,28000,10057,1
810,60000.0,8.06,10000,6388,1
685,70000.0,16.6,16500,4120,0
665,67000.0,2.11,11950,4163,1
675,70000.0,14.16,10000,1150,0
720,69000.0,39.85,8075,33586,1
665,50000.0,17.47,5000,6489,1
710,33000.0,11.16,9000,9334,1
665,38000.0,10.52,5500,5157,1
675,60000.0,8.1,10000,17213,1
660,24000.0,29.64,5000,5077,1
720,70000.0,20.16,20000,19783,1
690,105000.0,15.82,15000,15358,1
720,40000.0,17.55,16000,16348,1
750,32000.0,32.45,5000,5009,1
800,45000.0,9.01,5000,59,1
685,62000.0,11.89,20000,22760,1
710,114000.0,12.01,30000,17914,1
660,32000.0,9.0,12750,9421,1
660,50000.0,22.44,16000,11606,1
660,80000.0,19.98,6000,13041,1
670,42000.0,24.57,9225,11870,1
720,119000.0,9.29,34000,14211,1
695,80000.0,8.39,28000,22555,1
680,31000.0,24.92,7000,9236,1
665,52000.0,13.59,5500,3201,1
745,35000.0,10.49,4000,3269,1
685,42000.0,32.94,6000,6557,1
680,65000.0,31.13,6000,24386,0
670,52000.0,15.21,7000,6069,1
720,65000.0,33.56,15000,24628,1
680,60000.0,16.38,22000,7988,1
690,39000.0,33.75,12000,6588,0
685,21000.0,8.34,5000,3630,1
690,146000.0,20.4,15000,19048,0
665,91000.0,17.12,20000,17273,1
695,70000.0,17.35,9000,12806,1
665,75000.0,20.3,28475,38420,0
715,102000.0,21.21,10000,31748,1
695,152000.0,16.53,25000,52984,1
725,65000.0,24.53,15000,11675,1
720,65000.0,20.88,24000,23219,1
690,76000.0,17.78,12000,30176,0
700,56000.0,25.75,25000,32577,1
680,33280.0,6.38,7175,6164,1
665,56000.0,16.48,7000,2522,1
670,68000.0,4.69,6000,5721,1
770,63000.0,5.52,15000,12413,1
755,65000.0,8.81,17000,8346,1
750,43000.0,35.7,8500,11682,1
715,140000.0,9.06,34000,10303,1
675,89000.0,15.67,11000,7040,1
675,50000.0,7.75,10000,7072,1
685,55000.0,8.51,4025,5951,1
705,90000.0,10.45,22000,22785,1
675,55000.0,22.98,7500,6026,1
670,184000.0,15.6,35000,12412,0
670,98000.0,8.36,4000,12211,1
685,78000.0,15.52,10000,17550,1
680,64000.0,41.97,28150,12770,0
730,40000.0,24.33,7000,19100,1
695,72000.0,4.47,15000,7316,1
730,35000.0,20.88,15000,19521,1
685,80000.0,14.57,28000,26819,1
765,96000.0,10.45,5000,5336,1
665,60000.0,22.26,22800,23069,1
660,62000.0,19.2,18500,12364,1
695,74000.0,21.81,6000,15997,1
700,60000.0,17.48,23000,19256,1
690,90000.0,24.45,35000,53969,1
755,82500.0,17.83,7500,19821,1
680,110000.0,11.36,12000,18360,1
710,120000.0,3.46,27000,7627,0
735,44000.0,3.11,20225,4003,0
690,45000.0,2.13,16200,789,0
695,61000.0,9.33,10000,11382,1
760,90000.0,6.18,15000,14692,1
705,25000.0,38.5,2425,10604,1
660,51520.0,31.19,8000,8622,1
665,47000.0,18.85,5000,8534,1
685,55000.0,18.85,16000,22162,1
710,120000.0,23.59,23750,41519,1
675,121300.0,35.35,8000,3711,1
775,70000.0,20.09,5000,4135,1
660,55000.0,15.67,17550,13698,1
675,55000.0,21.17,7200,6760,1
665,30000.0,22.76,3500,2763,1
675,32900.0,48.27,7000,19751,0
695,62000.0,12.2,14675,5228,0
680,65000.0,14.12,9500,7208,1
685,110000.0,18.27,20000,18609,1
715,90000.0,26.43,10000,39201,1
720,120000.0,17.8,22000,19488,1
720,65000.0,27.22,17950,8313,0
660,52900.0,37.05,21000,11412,0
785,100000.0,24.91,15000,29284,1
690,110000.0,13.51,8000,7604,1
680,68000.0,13.75,6000,7433,1
670,61000.0,10.31,8000,6551,1
670,51024.0,35.89,17325,39787,1
670,36500.0,6.02,11200,5765,1
680,52000.0,23.94,20750,67106,1
720,73500.0,13.29,10000,10511,1
710,56000.0,31.38,12000,19081,1
725,35000.0,4.97,10000,2757,1
685,34000.0,25.98,15000,11677,0
675,173000.0,16.7,30000,52609,1
675,65000.0,32.75,8400,9978,1
670,28000.0,8.74,2000,1018,1
755,80000.0,0.75,10000,1446,1
720,113000.0,31.55,35000,49524,0
680,112604.0,10.65,7800,0,1
695,60000.0,19.82,8000,15181,1
720,99000.0,24.87,25000,22163,1
705,38000.0,29.92,19000,15833,0
660,121000.0,15.17,10000,2054,1
660,59000.0,22.88,3500,19153,1
790,104000.0,14.21,10000,9930,1
670,40000.0,36.63,6000,6222,1
720,50000.0,25.15,2000,20595,0
665,24000.0,11.65,6500,7051,1
695,40000.0,5.01,4000,4222,1
660,42000.0,9.86,6000,1509,1
700,58835.0,19.58,11000,9052,1
685,102000.0,10.2,16000,14406,1
685,63500.0,15.38,16000,11168,1
705,50400.0,4.84,8000,15511,1
750,30000.0,23.32,10200,4019,1
675,36000.0,20.23,4000,5446,1
680,91000.0,20.14,22000,21316,1
715,90000.0,20.88,24000,31974,1
715,120000.0,27.86,25000,173023,1
750,150100.0,33.12,30000,33172,1
695,135000.0,11.52,30000,29578,1
725,49000.0,25.11,22000,21345,1
775,43576.0,26.36,3000,15105,1
680,60000.0,10.86,13600,11705,1
790,145000.0,9.77,24000,5042,1
740,3964280.0,0.05,1225,1208,1
680,34500.0,8.52,12000,3901,1
685,48915.0,20.73,20000,19772,1
685,120000.0,11.85,28000,11416,1
765,40000.0,13.86,10000,8588,1
675,34000.0,16.03,8000,7548,1
735,70000.0,16.56,6000,5304,1
675,64000.0,8.81,5000,4801,1
675,241000.0,15.91,35000,56460,0
665,56000.0,6.63,1800,4954,1
660,83000.0,15.37,25000,13788,1
710,80000.0,9.79,10000,15693,1
690,110000.0,21.72,35000,44379,1
675,50000.0,19.35,10000,12352,1
700,135000.0,15.98,15000,11520,1
680,70000.0,10.01,20000,21655,0
670,55000.0,12.61,5500,18329,1
750,145000.0,25.94,25000,69202,1
760,30000.0,27.0,2500,17937,1
720,41000.0,19.23,7000,9977,1
660,150000.0,5.02,24000,31793,1
755,47000.0,9.37,10000,77,1
685,60000.0,12.76,24000,12196,0
685,84000.0,24.51,3500,10908,1
755,260500.0,5.44,40000,20301,1
660,26880.0,16.79,8800,5135,1
670,40000.0,12.99,15000,15762,1
710,29000.0,35.97,6000,5739,0
660,50000.0,8.81,7500,7777,1
675,25179.0,19.21,6000,2072,1
750,82000.0,28.73,29250,17345,1
735,100000.0,2.87,20000,5826,1
680,40000.0,20.61,6000,11000,1
660,69000.0,17.48,24000,22982,1
765,97885.0,21.47,35000,21204,0
725,107000.0,19.58,14000,16873,1
725,40000.0,20.88,4000,10392,1
670,59000.0,10.07,5000,4440,1
675,53000.0,26.83,5000,16285,1
660,120000.0,25.48,35000,35643,0
725,103000.0,19.63,25000,20615,1
675,65000.0,14.31,20000,13222,1
685,75000.0,12.85,16200,24754,0
685,12000.0,24.0,1825,2228,1
675,66000.0,23.89,19000,17746,1
660,38000.0,27.16,13000,5299,1
675,42000.0,27.97,13175,9924,1
735,60000.0,20.28,27575,16039,1
705,84000.0,8.63,15900,7259,1
730,60000.0,32.76,20000,14955,1
670,41000.0,11.59,6000,7580,1
680,85000.0,35.24,25000,66741,1
675,30000.0,17.04,7750,6471,1
665,30000.0,27.48,9000,10593,1
745,38000.0,3.66,16700,728,0
700,29000.0,24.63,2000,14413,0
670,50000.0,4.25,7000,6522,0
685,47000.0,9.42,6000,9622,1
695,125000.0,26.14,35000,40776,1
730,55000.0,35.29,10000,17839,1
675,56000.0,15.37,20000,12786,1
665,86000.0,13.87,8000,9859,1
715,89400.0,21.02,3000,17968,1
700,32000.0,18.94,16000,16707,1
670,58000.0,3.87,8000,3987,1
670,300000.0,17.38,17000,77386,1
700,85000.0,7.48,20000,5247,1
695,58000.0,13.14,18000,14283,1
690,102000.0,28.48,24000,26302,1
660,92151.0,15.63,23200,26491,1
685,100000.0,15.77,10000,10640,1
755,89000.0,17.52,13000,15746,1
720,65000.0,8.4,6500,7016,1
685,180000.0,20.21,22000,26066,1
665,60000.0,28.86,24200,15528,1
700,30000.0,5.64,5000,3954,1
735,74000.0,22.93,16000,18382,1
670,35000.0,27.81,9175,10894,0
660,62000.0,23.52,9000,9138,1
705,38000.0,24.08,10000,9352,1
705,71200.0,17.79,4925,2347,1
715,68000.0,17.42,9725,3746,1
685,82000.0,31.13,6000,40165,1
715,97000.0,13.61,28000,38844,1
675,125000.0,7.85,35000,22094,1
670,52000.0,15.56,7000,7821,1
660,40000.0,29.53,15000,2683,1
675,43000.0,28.05,21400,15389,1
670,140000.0,11.95,21950,5116,0
665,57000.0,21.0,15000,32155,1
695,47000.0,14.15,16000,16709,1
710,84000.0,13.76,9000,11020,1
685,65000.0,4.19,11400,7996,0
675,98000.0,8.18,15000,20988,1
690,86000.0,12.17,35000,22902,1
665,230000.0,15.68,24000,91164,1
675,90000.0,15.45,35000,25485,1
740,40000.0,10.83,17375,12932,1
740,65000.0,15.23,16000,13082,1
660,185000.0,13.73,11050,36731,1
680,88000.0,30.33,8000,10260,1
720,40000.0,23.91,11000,42204,1
665,70000.0,11.4,5000,5849,1
725,138000.0,11.18,17600,35220,1
660,35075.0,25.6,12000,6899,1
